particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other_observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,organization,spectrum_type,spectrum_identity,librarytype,spectrumid,owner,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,instrument_mode,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific,max_cor_class,max_cor_val
11,11,-7865,-8984,-7706,-8693,50-100,50-100,film,black,black-translucent,,11,V2.10,f123447c3f6795a1bbbc77d52f40ede7,0.928604705,0.7,TRUE,8.592412781,4,TRUE,TRUE,1,2,PaigeMeadow_March162022_top_100_1-250011.CSV,CC BY-NC,V2.10,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,743af1d86bfd66df20fe18bd22d30b03,13.33178385,kimmel_center,ftir,res 9 pisticia lentiscus,"organic materials, minerals, archeology",./resin tree modern pisticia lentiscus.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/05/2008 18:52:24,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.920401392
12,12,-7853,-11206,-7779,-1112,100-200,300-400,fragment,brown,,,12,V2.11,20e7623e4a4ef9243806aba7e9cd0133,0.85250223,0.7,TRUE,4.651983756,4,TRUE,TRUE,2,2,PaigeMeadow_March162022_top_100_1-250012.CSV,CC BY-NC,V2.11,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,d31186c8b648be0a49b63464c6ae2167,343.8588661,kimmel_center,ftir,wood fossil (untreated) cave of letters 3916,"organic materials, minerals, archeology",./wood fossil (untreated) cave of letters 3916.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/02/2007 18:24:56,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.989279481
13,13,-7480,-12679,-7867,-12503,50-100,50-100,film,brown,,,13,V2.12,23ba1e977a3809742627dfc30621e493,0.865301686,0.7,TRUE,8.955566176,4,TRUE,TRUE,3,2,PaigeMeadow_March162022_top_100_1-250013.CSV,CC BY-NC,V2.12,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,1bb69bf9656d6694956408c7e928354d,6.596806788,usda,ftir,soil,soil,298004xn03_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.986418763
14,14,-7348,-12585,-7203,-12379,50-100,50-100,fragment,white ,gray-white,,14,V2.13,90d03ff934c5db081160108191d3233c,0.712924719,0.7,TRUE,7.732084756,4,TRUE,TRUE,4,2,PaigeMeadow_March162022_top_100_1-250014.CSV,CC BY-NC,V2.13,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,379aecc2607c83567156e227d9152f8e,8.153845867,usda,ftir,soil,soil,297973xn04_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.968045996
15,15,-6442,-14404,-5257,-14611,<50,700-800,fiber/filament,translucent,,,15,V2.14,e42f6ddbda160f2a9b764f2a3475ce9e,0.89052588,0.7,TRUE,7.681421171,4,TRUE,TRUE,5,2,PaigeMeadow_March162022_top_100_1-250015.CSV,CC BY-NC,V2.14,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,8c80771286f2d91a11868a335a5afe6b,5.798566739,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313321
16,16,-6435,-16454,-6832,-16602,<50,2000-3000,fiber/filament,red,,,16,V2.15,b0993da46414dda2c72c4ad7d6d0418d,0.870201968,0.7,TRUE,7.333758649,4,TRUE,TRUE,6,2,PaigeMeadow_March162022_top_100_1-250016.CSV,CC BY-NC,V2.15,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,7f24c9118cdc36072e2b04cda2915d51,6.301104368,moore institute for plastic pollution research,ftir,pest,polymers and minerals,mippr_336287na,,,,,,,,,reflectance,,,,,,nicolet in10,,,,,,,,,,,,,,,,,,,moore institute for plastic pollution research,,,,,,,,,,,,,,,,,,,,,,,cc by-nc,376,427,427,0,4,bip,"0.000025000, 0.000025000","microplastic particles scanned with ultrafast scanning, reduced to ~30 representative spectra from hundreds of thousands of spectra",,,,,,,,,,,,,,,,,,,,,,heather szafranski,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,polyesters,plastic,,polyesters,0.97888548
17,17,-6427,-16923,-6731,-16756,50-100,100-200,film,brown,,,17,V2.16,5b0dd79fa633a504d5097262ae528e6a,0.866583299,0.7,TRUE,11.6213295,4,TRUE,TRUE,7,2,PaigeMeadow_March162022_top_100_1-250017.CSV,CC BY-NC,V2.16,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,cc4828bcc95f00d46dcd06c8c514479d,487.5064542,kimmel_center,ftir,amber (baltic; a. nissenbaum),"organic materials, minerals, archeology","./amber (baltic, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/2/2007 9:13,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,other material,0.98971893
18,18,-6136,-6707,-6128,-7219,50-100,100-200,fragment,brown,,,18,V2.17,20e7623e4a4ef9243806aba7e9cd0133,0.864276422,0.7,TRUE,4.0844387,4,TRUE,TRUE,8,2,PaigeMeadow_March162022_top_100_1-250018.CSV,CC BY-NC,V2.17,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,3105d9f67e70032cb3a4fa54445ce4d7,343.8588661,kimmel_center,ftir,wood fossil (untreated) cave of letters 3916,"organic materials, minerals, archeology",./wood fossil (untreated) cave of letters 3916.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/02/2007 18:24:56,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.989279481
19,19,-5412,-17770,-5751,-17765,50-100,50-100,film,translucent,,,19,V2.18,8b652374b67d0b62bfaf6cce01d1c775,0.848325568,0.7,TRUE,12.17687992,4,TRUE,TRUE,9,2,PaigeMeadow_March162022_top_100_1-250019.CSV,CC BY-NC,V2.18,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,0277d4c3412e24f98d839cfe90f66ed1,10.48965705,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",transmission_4_e8_3,,,,,,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.965028649
20,20,-4978,-4925,-4884,-5141,<50,100-200,fiber/filament,translucent,,,20,V2.19,b2c045844d84dac75d8c3229375d753a,0.902887204,0.7,TRUE,9.397882576,4,TRUE,TRUE,10,2,PaigeMeadow_March162022_top_100_1-250020.CSV,CC BY-NC,V2.19,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,8c1755f106e626c59ea78897dfcae402,18.8702294,"flopp, de frond et al. 2021",ftir,c5. pink fiber bundle,polymers,c5. pink fiber bundle,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-09,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12:09:57,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,7/9/2020,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,organic matter,not plastic,,organic matter,0.970597704
21,21,-4458,-19640,-4899,-19671,50-100,100-200,film,brown,,,21,V2.20,585ca9502fff6ff6a3abcb08bceaee70,0.812603768,0.7,TRUE,3.906338623,4,FALSE,FALSE,1,3,PaigeMeadow_March162022_top_100_1-250021.CSV,CC BY-NC,V2.20,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,44a0c3335b258625b469ab6e4f740953,277.0241095,kimmel_center,ftir,seed cladium mariscus,"organic materials, minerals, archeology",./seed cladium mariscus (white inside part).dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/5/2007 13:49,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,organic matter,0.989574901
22,22,-4426,-20180,-4789,-20036,50-100,100-200,fragment,translucent,,,22,V2.21,b2c045844d84dac75d8c3229375d753a,0.903769031,0.7,TRUE,6.801640251,4,TRUE,TRUE,2,3,PaigeMeadow_March162022_top_100_1-250022.CSV,CC BY-NC,V2.21,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,4a90568672787aaa15d5b7aafbfa7a41,18.8702294,"flopp, de frond et al. 2021",ftir,c5. pink fiber bundle,polymers,c5. pink fiber bundle,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-09,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12:09:57,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,7/9/2020,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,organic matter,not plastic,,organic matter,0.970597704
23,23,-4000,-19006,-3359,-19628,100-200,100-200,fragment,translucent,,,23,V2.22,d17f8cae31a6d96f2869bfb81ce34938,0.815645367,0.7,TRUE,4.144271667,4,TRUE,TRUE,3,3,PaigeMeadow_March162022_top_100_1-250023.CSV,CC BY-NC,V2.22,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,73196a2d1df012b32a4b80e70ad9cdca,11.48383668,"flopp, de frond et al. 2021",ftir,c11. pink fiber,polymers,c11. pink fiber,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-08,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,13:07:15,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,8/26/2020,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,organic matter,not plastic,,organic matter,0.973158018
24,24,-3760,-13445,-3177,-14759,50-100,50-100,fragment,brown,,,24,V2.23,5797e98d6d3b6f3d79dfc5b23217571b,0.890384556,0.7,TRUE,4.954714119,4,TRUE,TRUE,4,3,PaigeMeadow_March162022_top_100_1-250024.CSV,CC BY-NC,V2.23,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,fb68f98b8a6cddc08c1290e699bfca7d,5.939186989,usda,ftir,soil,soil,127420xs03_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.976503307
25,25,-3687,-4652,-3545,-5063,50-100,50-100,film,brown,,,25,V2.24,52adaa88f96bb3407b7dc2ef6f8564f9,0.815500822,0.7,TRUE,31.19095171,4,TRUE,TRUE,5,3,PaigeMeadow_March162022_top_100_1-250025.CSV,CC BY-NC,V2.24,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,ae4dca103d036a4a331ad84a92cf9bbb,122.6089589,rruff,ftir,gormanite__r050093-1__infrared__infrared_data_processed__287,minerals,gormanite__r050093-1__infrared__infrared_data_processed__287,unknown,,,,unknown,,,,absorbance,absorbance,"collection of 882 ftir absorbance spectra of minerals, provided by the rruff project from university of arizona.",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/06/2017 10:38:20,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,mineral,0.907354701
