particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other_observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,organization,spectrum_type,spectrum_identity,librarytype,spectrumid,owner,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,instrument_mode,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific,max_cor_class,max_cor_val
11,11,,,-8784,-14234,100-200,100-200,fragment,brown,white-brown,,11,intensity.10,f002d5e4d554c38cfea644f0f49bd3ec,0.780001114,0.7,TRUE,7.376030697,4,TRUE,TRUE,3,2,CCSL_March142022_a_top_100_1-250011.CSV,CC BY-NC,intensity.10,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,567c290b0b3fafa2ffa1e8f06fd15d93,6.511563941,usda,ftir,soil,soil,297982xn01_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.989121252
12,12,,,-8779,-14050,50-100,100-200,fragment,white ,,,12,intensity.11,e42f6ddbda160f2a9b764f2a3475ce9e,0.787192876,0.7,TRUE,5.791465932,4,TRUE,TRUE,4,2,CCSL_March142022_a_top_100_1-250012.CSV,CC BY-NC,intensity.11,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,e3ba4bcc9706931df3772036dfcba0b5,5.798566739,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313321
13,13,,,-8686,-9311,50-100,100-200,fragment,brown,white-brown,,13,intensity.12,b08cc334650263edc924e6e07e33928c,0.814648233,0.7,TRUE,7.472229775,4,TRUE,TRUE,5,2,CCSL_March142022_a_top_100_1-250013.CSV,CC BY-NC,intensity.12,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,f642dca80539d206b083fd8b3055cc46,6.110953563,kimmel_center,ftir,olive pit fresh_peel,"organic materials, minerals, archeology",./olive pit outer cuticle.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/05/2008 17:57:12,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,organic matter,0.796511144
14,14,,,-8554,-9197,<50,50-100,fragment,translucent,,,14,intensity.13,4f1a5f05c949480804c9fbefdc311d82,0.687810997,0.7,FALSE,4.159224775,4,TRUE,FALSE,6,2,CCSL_March142022_a_top_100_1-250014.CSV,CC BY-NC,intensity.13,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,5504e55f340eb7aea706909a0b755cc0,11.68135962,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",transmission_4_e7_1,,,,,,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.87920922
15,15,,,-8570,-7958,100-200,100-200,film,translucent,,,15,intensity.14,8cc79e3af239e30f74dbfbe1e1f698f6,0.915580453,0.7,TRUE,32.244571,4,TRUE,TRUE,7,2,CCSL_March142022_a_top_100_1-250015.CSV,CC BY-NC,intensity.14,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,ef88dd75f16eadb902d791907150756b,118.4212445,primpke et al. 2018,ftir,poly(vinyl stearate),"polymer, minerals, organic materials",198primpke,,,,,,,,,atr,,https://doi.org/10.1007/s00216-018-1156-x,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,powder,"scientific polymer products, inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polyvinylesters,plastic,poly(vinyl stearate),other plastic,0.947346518
16,16,,,-8851,-7430,50-100,200-300,fragment,translucent,,,16,intensity.15,2a40ea7502ca6114603e7c0c34f6285e,0.91001862,0.7,TRUE,36.49541631,4,TRUE,TRUE,8,2,CCSL_March142022_a_top_100_1-250016.CSV,CC BY-NC,intensity.15,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,35a3f7903bb3de337d176c58140e9c1a,91.81585714,archaeometrielabor,ftir,bienenwachs - bees wax,paints,./bienenwachs - bees wax.dx,unknown,,,,unknown,,,,transmittance,transmittance,"transmittance spectra of glues, gums and resins used by painters. downloaded in 2004 from http://www.archaeometrielabor.com, which is now defunct. currated by spectragryph.",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92881,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,other plastic,0.926363423
17,17,,,-8293,-6960,<50,400-500,fiber/filament,translucent,,,17,intensity.16,118731ec54a0047fd12fe4bcc95f285d,0.848868015,0.7,TRUE,5.295613176,4,TRUE,TRUE,1,3,CCSL_March142022_a_top_100_1-250017.CSV,CC BY-NC,intensity.16,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,29a09825baf966d4d97309f69c29000e,142.6832681,kimmel_center,ftir,cellulose,"organic materials, minerals, archeology",./cellulose.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/04/2012 15:15:04,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,other material,0.989889914
18,18,,,-8183,-7309,<50,500-600,fiber/filament,translucent,,,18,intensity.17,118731ec54a0047fd12fe4bcc95f285d,0.802781352,0.7,TRUE,5.762466202,4,TRUE,TRUE,2,3,CCSL_March142022_a_top_100_1-250018.CSV,CC BY-NC,intensity.17,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,3308ec77719de1ee83c5e6493925f275,142.6832681,kimmel_center,ftir,cellulose,"organic materials, minerals, archeology",./cellulose.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/04/2012 15:15:04,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,other material,0.989889914
19,19,,,-8325,-12880,<50,<50,fragment,white ,,,19,intensity.18,6380bd770b000733f745ad969c2dacba,0.691030887,0.7,FALSE,6.698107854,4,TRUE,FALSE,3,3,CCSL_March142022_a_top_100_1-250019.CSV,CC BY-NC,intensity.18,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,4b320c5d544721422b8cd6d60c082318,6.551151912,win cowger and sebastian primpke,ftir,eps,"polymer, minerals, organic materials",transmission_6_g1_2,,,,,,,,,transmission,,,,,,,,"roscher, lisa; fehres, annika; reisel, lorenz; halbach, maurits; scholz-bttcher, barbara; gerriets, michaela; badewien, thomas h; shiravani, gholamreza; wurpts, andreas; primpke, sebastian; gerdts, gunnar (2021): abundances of large microplastics (l-mp, 500-5000 m) in surface waters of the weser estuary and the german north sea (april 2018). pangaea, https://doi.org/10.1594/pangaea.938143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,"polystyrenes (polyphenylethylenes, -methylstyrene)",plastic,polystyrene,"polystyrenes (polyphenylethylenes, -methylstyrene)",0.989060482
20,20,,,-8162,-12907,<50,400-500,fiber/filament,translucent,,,20,intensity.19,b2c045844d84dac75d8c3229375d753a,0.878102018,0.7,TRUE,10.48676447,4,TRUE,TRUE,4,3,CCSL_March142022_a_top_100_1-250020.CSV,CC BY-NC,intensity.19,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,baedce9d2be6de132d577e818abb0567,18.8702294,"flopp, de frond et al. 2021",ftir,c5. pink fiber bundle,polymers,c5. pink fiber bundle,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-09,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12:09:57,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,7/9/2020,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,organic matter,not plastic,,organic matter,0.970597704
21,21,,,-8058,-13294,<50,50-100,fragment,white ,,,21,intensity.20,e08f6c1985ac63197f050aaa63062b19,0.746031222,0.7,TRUE,6.344900109,4,TRUE,TRUE,5,3,CCSL_March142022_a_top_100_1-250021.CSV,CC BY-NC,intensity.20,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,b2b312563211e8766b61d625ee0f4219,10.46111343,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",reflectance_4_e9_0,,,,,,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.850253222
22,22,,,-8018,-13582,<50,<50,fragment,white ,,,22,intensity.21,e42f6ddbda160f2a9b764f2a3475ce9e,0.810148509,0.7,TRUE,6.568172629,4,TRUE,TRUE,6,3,CCSL_March142022_a_top_100_1-250022.CSV,CC BY-NC,intensity.21,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,0442fa406f779ad3f9a34a734a42489e,5.798566739,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313321
23,23,,,-8455,-18265,50-100,100-200,fragment,brown,mostly on wire,,23,intensity.22,751482b9ced123e7e38f44f58021483e,0.826415719,0.7,TRUE,5.660173798,4,TRUE,TRUE,7,3,CCSL_March142022_a_top_100_1-250023.CSV,CC BY-NC,intensity.22,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,ac4d51181095772fc661b9e11b1394bc,5.760164773,usda,ftir,soil,soil,297993xn03_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.986977587
24,24,,,-7486,-16887,100-200,200-300,fragment,brown,,,24,intensity.23,06a46e8a66667a1232cad037eda4054c,0.784479709,0.7,TRUE,4.499184194,4,TRUE,TRUE,8,3,CCSL_March142022_a_top_100_1-250024.CSV,CC BY-NC,intensity.23,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,4005805d1074b1d1394c4fd94653141f,6.909841275,win cowger and sebastian primpke,ftir,fibre_jute,"polymer, minerals, organic materials",reflectance_5_a7_0,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_jute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.975377532
