particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other_observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,organization,spectrum_type,spectrum_identity,librarytype,spectrumid,owner,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,instrument_mode,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific,max_cor_class,max_cor_val
11,11,,,-9693,-10033,50-100,100-200,fragment,brown,,,11,V2.35,f810103e05c75bbbc7a9180214e5051e,0.842791,0.7,TRUE,4.987029,4,TRUE,TRUE,8,3,CUES_March242022_a_top_100_1-250011.CSV,CC BY-NC,V2.35,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,4250f5988579f452e210683156565caf,34.55025,kimmel_center,ftir,"fulvic acid (soli masmia, israel; a. nissenbaum)","organic materials, minerals, archeology","./fulvic acid (soli masmia, israel, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,organic matter,0.96772
12,12,,,-9440,-9193,<50,400-500,fiber/filament,translucent,"remainder of the particle on the edge, full length unknown",,12,V2.36,01753a31301e577c5d672fece8b9f15c,0.774692,0.7,TRUE,6.469565,4,TRUE,TRUE,9,3,CUES_March242022_a_top_100_1-250012.CSV,CC BY-NC,V2.36,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,84d453c2bbf8174d10340b51735598a1,4.501921,win cowger and sebastian primpke,ftir,fibre_indian_raw_cotton,"polymer, minerals, organic materials",reflectance_4_h8_2,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_indian_raw_cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.977186
13,13,,,-9098,-7692,50-100,50-100,fragment,translucent,"towards edge of filter, bad spectra",,13,V2.37,20e7623e4a4ef9243806aba7e9cd0133,0.809733,0.7,TRUE,3.766736,4,FALSE,FALSE,10,3,CUES_March242022_a_top_100_1-250013.CSV,CC BY-NC,V2.37,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,8737588911572f980b939a9d04e83226,343.8589,kimmel_center,ftir,wood fossil (untreated) cave of letters 3916,"organic materials, minerals, archeology",./wood fossil (untreated) cave of letters 3916.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/02/2007 18:24:56,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.989279
14,14,,,-9321,-8175,<50,200-300,fiber/filament,translucent,"remainder of the particle on the edge, full length unknown",,14,V2.38,260981e39a5c940e51d94013fe08df65,0.725051,0.7,TRUE,5.689982,4,TRUE,TRUE,11,3,CUES_March242022_a_top_100_1-250014.CSV,CC BY-NC,V2.38,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,b71b487b50b489703d5126e3ca4c14d4,14.5361,kimmel_center,ftir,g38ia 450 clay,"organic materials, minerals, archeology",./clay trace calcite 450 c ashkelon.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/11/2011 15:54:12,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.953905
15,15,,,-9024,-8557,50-100,200-300,fragment,brown,translucent-brown,,15,V2.39,20e7623e4a4ef9243806aba7e9cd0133,0.794249,0.7,TRUE,4.787075,4,TRUE,TRUE,12,3,CUES_March242022_a_top_100_1-250015.CSV,CC BY-NC,V2.39,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,5a863ec33bc8e3f480672de90accc70e,343.8589,kimmel_center,ftir,wood fossil (untreated) cave of letters 3916,"organic materials, minerals, archeology",./wood fossil (untreated) cave of letters 3916.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/02/2007 18:24:56,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.989279
16,16,,,-9163,-9749,50-100,50-100,fragment,brown,,,16,V2.40,78207d4d251b45537a8e3db5c6af897a,0.832072,0.7,TRUE,12.72518,4,TRUE,TRUE,13,3,CUES_March242022_a_top_100_1-250016.CSV,CC BY-NC,V2.40,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,d3a9135167353be0a129d1d47e2e9ead,12.7596,win cowger and sebastian primpke,ftir,fibre_cocoanut,"polymer, minerals, organic materials",transmission_5_a2_3,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cocoanut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.828473
17,17,,,-9167,-9918,100-200,200-300,fragment,white ,,,17,V2.41,679cbeecfe6ca6c0b6538be74664ceb2,0.863815,0.7,TRUE,8.179573,4,TRUE,TRUE,14,3,CUES_March242022_a_top_100_1-250017.CSV,CC BY-NC,V2.41,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,3886e50fca366362aece6f2dab93dbaa,4.59881,win cowger and sebastian primpke,ftir,fibre_poplar_down,"polymer, minerals, organic materials",reflectance_5_a10_2,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_poplar_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.988249
18,18,,,-9340,-9896,50-100,100-200,fragment,translucent,"translucent-brown, couldn't get a clear shot of the particle because some of 19 was in the frame",,18,V2.42,b08cc334650263edc924e6e07e33928c,0.834179,0.7,TRUE,8.310354,4,TRUE,TRUE,1,4,CUES_March242022_a_top_100_1-250018.CSV,CC BY-NC,V2.42,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,6b22fb0204fb5a3bf1fb043f8ba96f1f,6.110954,kimmel_center,ftir,olive pit fresh_peel,"organic materials, minerals, archeology",./olive pit outer cuticle.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/05/2008 17:57:12,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,organic matter,0.796511
19,19,,,-9038,-10124,<50,300-400,fiber/filament,translucent,,,19,V2.43,60c5c41c1b9290f6f7f7fac63d245bdc,0.859691,0.7,TRUE,24.45689,4,TRUE,TRUE,2,4,CUES_March242022_a_top_100_1-250019.CSV,CC BY-NC,V2.43,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,3d2bf8bd4dae4d650899bd644168b6ef,31.71372,"flopp, de frond et al. 2021",ftir,eva 5. green fiber,polymers,eva 5. green fiber,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-09,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,8:59:52,ratio against background,truncated,elementmultiply or elementdivide,11.19 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,########,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.19 sec,,,,,other plastic,plastic,ethylene-vinyl acetate,other plastic,0.963699
20,20,,,-9306,-16645,50-100,50-100,fragment,white ,,,20,V2.44,179483a3c0da458267832f2c1c32a220,0.949856,0.7,TRUE,28.26442,4,TRUE,TRUE,3,4,CUES_March242022_a_top_100_1-250020.CSV,CC BY-NC,V2.44,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,06a0936a7509d1130214de38c3fa2685,22.11968,win cowger and sebastian primpke,ftir,pp,"polymer, minerals, organic materials",transmission_8_h2_0,,,,,,,,,transmission,,,,,,,,"roscher, lisa; fehres, annika; reisel, lorenz; halbach, maurits; scholz-bttcher, barbara; gerriets, michaela; badewien, thomas h; shiravani, gholamreza; wurpts, andreas; primpke, sebastian; gerdts, gunnar (2021): abundances of large microplastics (l-mp, 500-5000 m) in surface waters of the weser estuary and the german north sea (april 2018). pangaea, https://doi.org/10.1594/pangaea.938143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,polyolefins (polyalkenes),plastic,poly(propylene),polyolefins (polyalkenes),0.986836
21,21,,,-8941,-16514,100-200,100-200,fragment,white ,,,21,V2.45,33b07154e329d8dd80f89251d3b3c9ae,0.906028,0.7,TRUE,46.26069,4,TRUE,TRUE,4,4,CUES_March242022_a_top_100_1-250021.CSV,CC BY-NC,V2.45,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,7cd74dcca91fc19e65c9b663b5ae2e9b,12.80184,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",transmission_4_e8_1,,,,,,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.976073
22,22,,,-8776,-18077,<50,50-100,fiber/filament,translucent,"remainder of the particle on the edge, full length unknown",,22,V2.46,3f0107c89e9bb0dc4814b1c61fdbdfc0,0.698105,0.7,FALSE,5.721921,4,TRUE,FALSE,5,4,CUES_March242022_a_top_100_1-250022.CSV,CC BY-NC,V2.46,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,f239bc36774b0126acea38350bf4caca,8.997308,"flopp, de frond et al. 2021",ftir,cotton 6. green fiber,polymers,cotton 6. green fiber,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-08,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,16:22:41,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,########,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,organic matter,not plastic,,organic matter,0.98915
23,23,,,-8619,-17922,<50,300-400,fiber/filament,translucent,,,23,V2.47,f121ee703a9eb3bbd6b0e5497f4a9f7a,0.716739,0.7,TRUE,4.924465,4,TRUE,TRUE,6,4,CUES_March242022_a_top_100_1-250023.CSV,CC BY-NC,V2.47,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,2c9fecdc6ec557706ed234ecf3425543,3.736104,win cowger and sebastian primpke,ftir,fibre_cotton_combers,"polymer, minerals, organic materials",transmission_4_h4_0,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_combers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.869388
24,24,,,-8761,-17895,50-100,50-100,fragment,brown,,,24,V2.48,45e6b3d089c8f1eb3526bf27c9cdb633,0.866846,0.7,TRUE,6.77279,4,TRUE,TRUE,7,4,CUES_March242022_a_top_100_1-250024.CSV,CC BY-NC,V2.48,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,e99129f085d2e7d8093d391d2f23e680,15.06957,kimmel_center,ftir,recent pollen 3 pinus,"organic materials, minerals, archeology",./pollen 3 pinus recent.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-0.96423,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.904896
