particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other_observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,organization,spectrum_type,spectrum_identity,librarytype,spectrumid,owner,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,instrument_mode,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific,max_cor_class,max_cor_val
11,11,-8051,-17373,-8522,-17461,50-100,50-100,fragment,brown,,,11,V2.34,48ff4e998129661d7a8c72f4f750aa00,0.845473729,0.7,TRUE,4.100095644,4,TRUE,TRUE,11,3,MeeksBay_March232022_1_100_1-250011.CSV,CC BY-NC,V2.34,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,56e417097cdbfd4eaee6ffbb3ab54cb8,32.19767393,kimmel_center,ftir,wood (pine fresh),"organic materials, minerals, archeology",./wood (pine fresh).dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/01/2007 19:00:58,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,other material,0.967719567
12,12,-7706,-18214,-8294,-18289,50-100,100-200,fragment,brown,,,12,V2.35,4bdb0864a6b01bfc4fc039b8c2f825ea,0.848779323,0.7,TRUE,20.47491887,4,TRUE,TRUE,12,3,MeeksBay_March232022_1_100_1-250012.CSV,CC BY-NC,V2.35,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,4ebf2d4d6bc2bca9f4b9dc934dd93b14,35.67898182,moore institute for plastic pollution research,ftir,cassiterite,polymers and minerals,mippr_2615 - cassiterite.rds,,,,,,,,,reflectance,,,,,,nicolet in10,,,,,,,,,,,,,,,,,,,moore institute for plastic pollution research,,,,,,,,,,,,,,,,,,,,,,,cc by-nc,166,166,427,0,4,bip,"0.000025000, 0.000025000","minerals may not be exact match to material listed as they were extracted from mineral aggregates containing the listed material, so they may just be spatially related.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,mineral,not plastic,,mineral,0.947439795
13,13,-7476,-6825,-8687,-6748,50-100,50-100,film,brown,,,13,V2.36,9579ab6fccd4e084aeb295969779b046,0.921569043,0.7,TRUE,16.65020165,4,TRUE,TRUE,1,4,MeeksBay_March232022_1_100_1-250013.CSV,CC BY-NC,V2.36,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,d59a03d459649bb50d49668511ee64a3,12.3765072,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",transmission_4_e8_0,,,,,,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.975207206
14,14,-7426,-11987,-8986,-11245,<50,<50,fragment,brown,,,14,V2.37,a168a5157d34dae1bb47f0231c14c022,0.857960857,0.7,TRUE,8.631384898,4,TRUE,TRUE,2,4,MeeksBay_March232022_1_100_1-250014.CSV,CC BY-NC,V2.37,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,f571e4e588e093058caa6ae0b26910fd,17.33464203,primpke et al. 2018,ftir,fur wild boar,"polymer, minerals, organic materials",302primpke,,,,,,,,,atr,,https://doi.org/10.1007/s00216-018-1156-x,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fibre,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,organic matter,0.974368415
15,15,-7396,-8747,-7981,-9252,50-100,50-100,fragment,white ,,,15,V2.38,5b0dd79fa633a504d5097262ae528e6a,0.863250141,0.7,TRUE,7.37621081,4,TRUE,TRUE,3,4,MeeksBay_March232022_1_100_1-250015.CSV,CC BY-NC,V2.38,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,7f1aa40abf585890fa78a9a3140a8c47,487.5064542,kimmel_center,ftir,amber (baltic; a. nissenbaum),"organic materials, minerals, archeology","./amber (baltic, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/2/2007 9:13,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,other material,0.98971893
16,16,-6975,-12614,-8293,-14035,50-100,50-100,fragment,white ,,,16,V2.39,e42f6ddbda160f2a9b764f2a3475ce9e,0.865555019,0.7,TRUE,8.392583575,4,TRUE,TRUE,4,4,MeeksBay_March232022_1_100_1-250016.CSV,CC BY-NC,V2.39,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,5c77f39be2715183b30dcfc88290d1d8,5.798566739,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313321
17,17,-6780,-12496,-8280,-14215,50-100,50-100,film,translucent,,,17,V2.40,2a40ea7502ca6114603e7c0c34f6285e,0.897616062,0.7,TRUE,19.8106559,4,TRUE,TRUE,5,4,MeeksBay_March232022_1_100_1-250017.CSV,CC BY-NC,V2.40,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,4bfeca918138623f02354543f91b6e10,91.81585714,archaeometrielabor,ftir,bienenwachs - bees wax,paints,./bienenwachs - bees wax.dx,unknown,,,,unknown,,,,transmittance,transmittance,"transmittance spectra of glues, gums and resins used by painters. downloaded in 2004 from http://www.archaeometrielabor.com, which is now defunct. currated by spectragryph.",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92881,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,other plastic,0.926363423
18,18,-6753,-6074,-5464,-4493,<50,<50,fragment,translucent,,,18,V2.41,5b0dd79fa633a504d5097262ae528e6a,0.817201161,0.7,TRUE,11.18598694,4,TRUE,TRUE,6,4,MeeksBay_March232022_1_100_1-250018.CSV,CC BY-NC,V2.41,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,d5fd365010255f88a419d569e0414cc3,487.5064542,kimmel_center,ftir,amber (baltic; a. nissenbaum),"organic materials, minerals, archeology","./amber (baltic, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/2/2007 9:13,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,other material,0.98971893
19,19,-6389,-14020,-5891,-14547,50-100,100-200,fragment,brown,,,19,V2.42,f002d5e4d554c38cfea644f0f49bd3ec,0.760460889,0.7,TRUE,8.286509659,4,TRUE,TRUE,7,4,MeeksBay_March232022_1_100_1-250019.CSV,CC BY-NC,V2.42,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,513f6be7764ef9e10805c235e6aeb968,6.511563941,usda,ftir,soil,soil,297982xn01_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.989121252
20,20,-6288,-13845,-4227,-14051,100-200,100-200,film,brown,,,20,V2.43,d38fd6ca8fa51bcc0aa044add23b3826,0.829403048,0.7,TRUE,4.334015741,4,TRUE,TRUE,8,4,MeeksBay_March232022_1_100_1-250020.CSV,CC BY-NC,V2.43,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,6a43b244fcfacbcf28421f361b8a0b3a,339.7834272,kimmel_center,ftir,"wood tamarisk modern timna, israel","organic materials, minerals, archeology","./wood tamarisk modern timna, israel.dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/2/2007 9:39,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,other material,0.988910223
21,21,-6189,-16158,-8193,-15219,50-100,100-200,fragment,brown,,,21,V2.44,53819175de66a8e77d3860a1df7a4be8,0.884121682,0.7,TRUE,6.650185772,4,TRUE,TRUE,9,4,MeeksBay_March232022_1_100_1-250021.CSV,CC BY-NC,V2.44,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,816f386807add38b10886cae13821e88,7.2828181,win cowger and sebastian primpke,ftir,fibre_grass,"polymer, minerals, organic materials",reflectance_5_a5_1,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.967112471
22,22,-5642,-15456,-3964,-17261,50-100,100-200,fragment,brown,,,22,V2.45,22f88e60f44f7b47a7763c9b09a91328,0.881278123,0.7,TRUE,6.307058002,4,TRUE,TRUE,10,4,MeeksBay_March232022_1_100_1-250022.CSV,CC BY-NC,V2.45,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,accb59911b340c6d83836879719f1012,7.14626129,win cowger and sebastian primpke,ftir,fur_angora_rabbit,"polymer, minerals, organic materials",reflectance_5_c7_0,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,fur,fur_angora_rabbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.969684367
23,23,-5635,-8618,-5117,-9207,50-100,50-100,fragment,white ,,,23,V2.46,e45917b196311ecc6490851d919aa811,0.888164969,0.7,TRUE,4.980657567,4,TRUE,TRUE,11,4,MeeksBay_March232022_1_100_1-250023.CSV,CC BY-NC,V2.46,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,877b3732d10df1d8622e03fa9e941d0c,4.107605324,win cowger and sebastian primpke,ftir,fibre_linen,"polymer, minerals, organic materials",reflectance_4_h9_3,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_linen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.936879928
24,24,-5422,-3895,-5377,-3925,50-100,50-100,film,translucent,,,24,V2.47,6e7566c12e5462900b3405d4ca66ff30,0.790189765,0.7,TRUE,8.43884456,4,TRUE,TRUE,12,4,MeeksBay_March232022_1_100_1-250024.CSV,CC BY-NC,V2.47,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,0a9b1ce5d8a513d462169b90fabf92ac,10.82317466,aline carvalho,ftir,polypropylene,polymers,polypropylene_303_aline,,,,,,,,,atr,,,,,,"thermo nicolet 670, thermo fisher scientific",,,,,,,,,,,,,,,,4 cm-1,(atr diamond crystal),"400 to 4000 cm-1, applying 8 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atr correction,,,,polyolefins (polyalkenes),plastic,poly(propylene),polyolefins (polyalkenes),0.957226084
25,25,-5379,-5182,-3891,-5480,100-200,100-200,fragment,brown,brown-black,,25,V2.48,a168a5157d34dae1bb47f0231c14c022,0.86884201,0.7,TRUE,7.567377436,4,TRUE,TRUE,1,5,MeeksBay_March232022_1_100_1-250025.CSV,CC BY-NC,V2.48,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,4d4d9c9348d55c088ba0e95199bb50b4,17.33464203,primpke et al. 2018,ftir,fur wild boar,"polymer, minerals, organic materials",302primpke,,,,,,,,,atr,,https://doi.org/10.1007/s00216-018-1156-x,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fibre,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,organic matter,0.974368415
